Area code,Area name,Time period,"Value (£)"
E06000001,Hartlepool,2023,19530
E06000002,Middlesbrough,2023,17872
E06000003,Redcar and Cleveland,2023,19234
E06000004,Stockton-on-Tees,2023,20209
E06000005,Darlington,2023,20631
E06000006,Halton,2023,20341
E06000007,Warrington,2023,24301
E06000008,Blackburn with Darwen,2023,17049
E06000009,Blackpool,2023,18846
E06000010,Kingston upon Hull,2023,17001
E06000011,East Riding of Yorkshire,2023,23705
E06000012,North East Lincolnshire,2023,19796
E06000013,North Lincolnshire,2023,19950
E06000014,York,2023,23553
E06000015,Derby,2023,18915
E06000016,Leicester,2023,16067
E06000017,Rutland,2023,28694
E06000018,Nottingham,2023,16823
E06000019,Herefordshire,2023,24774
E06000020,Telford and Wrekin,2023,20279
E06000021,Stoke-on-Trent,2023,17626
E06000022,Bath and North East Somerset,2023,27296
E06000023,Bristol,2023,24696
E06000024,North Somerset,2023,26970
E06000025,South Gloucestershire,2023,25422
E06000026,Plymouth,2023,20223
E06000027,Torbay,2023,22335
E06000030,Swindon,2023,22214
E06000031,Peterborough,2023,20393
E06000032,Luton,2023,19338
E06000033,Southend-on-Sea,2023,25329
E06000034,Thurrock,2023,23074
E06000035,Medway,2023,23074
E06000036,Bracknell Forest,2023,27124
E06000037,West Berkshire,2023,31706
E06000038,Reading,2023,24551
E06000039,Slough,2023,21205
E06000040,Windsor and Maidenhead,2023,36876
E06000041,Wokingham,2023,30443
E06000042,Milton Keynes,2023,24164
E06000043,Brighton and Hove,2023,28857
E06000044,Portsmouth,2023,21003
E06000045,Southampton,2023,19872
E06000046,Isle of Wight,2023,22568
E06000047,County Durham,2023,19439
E06000049,Cheshire East,2023,28036
E06000050,Cheshire West and Chester,2023,24584
E06000051,Shropshire,2023,23824
E06000052,Cornwall,2023,23216
E06000053,Isles of Scilly,2023,23324
E06000054,Wiltshire,2023,26527
E06000055,Bedford,2023,24378
E06000056,Central Bedfordshire,2023,25673
E06000057,Northumberland,2023,23192
E06000058,"Bournemouth, Christchurch and Poole",2023,25259
E06000059,Dorset,2023,26336
E06000060,Buckinghamshire,2023,32856
E06000061,North Northamptonshire,2023,22360
E06000062,West Northamptonshire,2023,24612
E06000063,Cumberland,2023,21411
E06000064,Westmorland and Furness,2023,25083
E06000065,North Yorkshire,2023,26697
E06000066,Somerset,2023,24547
E07000008,Cambridge,2023,25834
E07000009,East Cambridgeshire,2023,26924
E07000010,Fenland,2023,21448
E07000011,Huntingdonshire,2023,24594
E07000012,South Cambridgeshire,2023,31091
E07000032,Amber Valley,2023,22715
E07000033,Bolsover,2023,19162
E07000034,Chesterfield,2023,20318
E07000035,Derbyshire Dales,2023,30873
E07000036,Erewash,2023,21075
E07000037,High Peak,2023,23177
E07000038,North East Derbyshire,2023,22132
E07000039,South Derbyshire,2023,22839
E07000040,East Devon,2023,26367
E07000041,Exeter,2023,20569
E07000042,Mid Devon,2023,24003
E07000043,North Devon,2023,23103
E07000044,South Hams,2023,29987
E07000045,Teignbridge,2023,24924
E07000046,Torridge,2023,22672
E07000047,West Devon,2023,24525
E07000061,Eastbourne,2023,22888
E07000062,Hastings,2023,21298
E07000063,Lewes,2023,29269
E07000064,Rother,2023,27069
E07000065,Wealden,2023,30000
E07000066,Basildon,2023,24180
E07000067,Braintree,2023,25155
E07000068,Brentwood,2023,34635
E07000069,Castle Point,2023,25529
E07000070,Chelmsford,2023,27815
E07000071,Colchester,2023,23496
E07000072,Epping Forest,2023,34838
E07000073,Harlow,2023,21411
E07000074,Maldon,2023,26820
E07000075,Rochford,2023,26459
E07000076,Tendring,2023,23116
E07000077,Uttlesford,2023,33280
E07000078,Cheltenham,2023,26389
E07000079,Cotswold,2023,37351
E07000080,Forest of Dean,2023,22810
E07000081,Gloucester,2023,20355
E07000082,Stroud,2023,27487
E07000083,Tewkesbury,2023,26150
E07000084,Basingstoke and Deane,2023,27908
E07000085,East Hampshire,2023,30307
E07000086,Eastleigh,2023,24127
E07000087,Fareham,2023,25716
E07000088,Gosport,2023,21263
E07000089,Hart,2023,32292
E07000090,Havant,2023,24248
E07000091,New Forest,2023,28322
E07000092,Rushmoor,2023,22540
E07000093,Test Valley,2023,28128
E07000094,Winchester,2023,32202
E07000095,Broxbourne,2023,25744
E07000096,Dacorum,2023,30369
E07000098,Hertsmere,2023,37246
E07000099,North Hertfordshire,2023,29099
E07000102,Three Rivers,2023,36455
E07000103,Watford,2023,26109
E07000105,Ashford,2023,25687
E07000106,Canterbury,2023,23272
E07000107,Dartford,2023,24579
E07000108,Dover,2023,23269
E07000109,Gravesham,2023,24201
E07000110,Maidstone,2023,25905
E07000111,Sevenoaks,2023,37860
E07000112,Folkestone and Hythe,2023,24236
E07000113,Swale,2023,22987
E07000114,Thanet,2023,23099
E07000115,Tonbridge and Malling,2023,28282
E07000116,Tunbridge Wells,2023,33378
E07000117,Burnley,2023,17234
E07000118,Chorley,2023,22525
E07000119,Fylde,2023,27311
E07000120,Hyndburn,2023,17055
E07000121,Lancaster,2023,20066
E07000122,Pendle,2023,18176
E07000123,Preston,2023,18758
E07000124,Ribble Valley,2023,29775
E07000125,Rossendale,2023,22128
E07000126,South Ribble,2023,21936
E07000127,West Lancashire,2023,23735
E07000128,Wyre,2023,22854
E07000129,Blaby,2023,21201
E07000130,Charnwood,2023,22158
E07000131,Harborough,2023,28215
E07000132,Hinckley and Bosworth,2023,22701
E07000133,Melton,2023,25704
E07000134,North West Leicestershire,2023,22618
E07000135,Oadby and Wigston,2023,21514
E07000136,Boston,2023,19426
E07000137,East Lindsey,2023,22327
E07000138,Lincoln,2023,18178
E07000139,North Kesteven,2023,22667
E07000140,South Holland,2023,20789
E07000141,South Kesteven,2023,24858
E07000142,West Lindsey,2023,22385
E07000143,Breckland,2023,21834
E07000144,Broadland,2023,24571
E07000145,Great Yarmouth,2023,19700
E07000146,King's Lynn and West Norfolk,2023,22290
E07000147,North Norfolk,2023,24122
E07000148,Norwich,2023,19424
E07000149,South Norfolk,2023,24378
E07000170,Ashfield,2023,18772
E07000171,Bassetlaw,2023,21571
E07000172,Broxtowe,2023,21498
E07000173,Gedling,2023,22513
E07000174,Mansfield,2023,20267
E07000175,Newark and Sherwood,2023,23486
E07000176,Rushcliffe,2023,28293
E07000177,Cherwell,2023,26994
E07000178,Oxford,2023,24772
E07000179,South Oxfordshire,2023,33505
E07000180,Vale of White Horse,2023,29226
E07000181,West Oxfordshire,2023,32220
E07000192,Cannock Chase,2023,20117
E07000193,East Staffordshire,2023,21422
E07000194,Lichfield,2023,26610
E07000195,Newcastle-under-Lyme,2023,20244
E07000196,South Staffordshire,2023,25399
E07000197,Stafford,2023,24013
E07000198,Staffordshire Moorlands,2023,22712
E07000199,Tamworth,2023,19377
E07000200,Babergh,2023,26268
E07000202,Ipswich,2023,20728
E07000203,Mid Suffolk,2023,25269
E07000207,Elmbridge,2023,48562
E07000208,Epsom and Ewell,2023,30982
E07000209,Guildford,2023,35921
E07000210,Mole Valley,2023,38465
E07000211,Reigate and Banstead,2023,32092
E07000212,Runnymede,2023,31483
E07000213,Spelthorne,2023,27896
E07000214,Surrey Heath,2023,33217
E07000215,Tandridge,2023,34393
E07000216,Waverley,2023,39876
E07000217,Woking,2023,33289
E07000218,North Warwickshire,2023,22225
E07000219,Nuneaton and Bedworth,2023,20039
E07000220,Rugby,2023,23182
E07000221,Stratford-on-Avon,2023,32164
E07000222,Warwick,2023,28555
E07000223,Adur,2023,23470
E07000224,Arun,2023,25129
E07000225,Chichester,2023,31385
E07000226,Crawley,2023,21869
E07000227,Horsham,2023,31670
E07000228,Mid Sussex,2023,30320
E07000229,Worthing,2023,25505
E07000234,Bromsgrove,2023,28576
E07000235,Malvern Hills,2023,26860
E07000236,Redditch,2023,21525
E07000237,Worcester,2023,20193
E07000238,Wychavon,2023,26718
E07000239,Wyre Forest,2023,22201
E07000240,St Albans,2023,38321
E07000241,Welwyn Hatfield,2023,27671
E07000242,East Hertfordshire,2023,32373
E07000243,Stevenage,2023,21903
E07000244,East Suffolk,2023,24545
E07000245,West Suffolk,2023,22797
E08000001,Bolton,2023,19739
E08000002,Bury,2023,22248
E08000003,Manchester,2023,18945
E08000004,Oldham,2023,18084
E08000005,Rochdale,2023,18515
E08000006,Salford,2023,21128
E08000007,Stockport,2023,24864
E08000008,Tameside,2023,19444
E08000009,Trafford,2023,28557
E08000010,Wigan,2023,19357
E08000011,Knowsley,2023,19519
E08000012,Liverpool,2023,18976
E08000013,St. Helens,2023,20225
E08000014,Sefton,2023,21904
E08000015,Wirral,2023,22005
E08000016,Barnsley (obsolete),2023,20404
E08000017,Doncaster,2023,19922
E08000018,Rotherham,2023,19793
E08000019,Sheffield (obsolete),2023,19462
E08000021,Newcastle upon Tyne,2023,19661
E08000022,North Tyneside,2023,21185
E08000023,South Tyneside,2023,19563
E08000024,Sunderland,2023,18751
E08000025,Birmingham,2023,18312
E08000026,Coventry,2023,19057
E08000027,Dudley,2023,19238
E08000028,Sandwell,2023,16562
E08000029,Solihull,2023,26815
E08000030,Walsall,2023,18199
E08000031,Wolverhampton,2023,18174
E08000032,Bradford,2023,17784
E08000033,Calderdale,2023,21103
E08000034,Kirklees,2023,20010
E08000035,Leeds,2023,21694
E08000036,Wakefield,2023,20706
E08000037,Gateshead,2023,19127
E09000001,City of London,2023,129429
E09000002,Barking and Dagenham,2023,21179
E09000003,Barnet,2023,36880
E09000004,Bexley,2023,25722
E09000005,Brent,2023,29569
E09000006,Bromley,2023,34399
E09000007,Camden,2023,61657
E09000008,Croydon,2023,27096
E09000009,Ealing,2023,30437
E09000010,Enfield,2023,27981
E09000011,Greenwich,2023,28453
E09000012,Hackney,2023,34013
E09000013,Hammersmith and Fulham,2023,51554
E09000014,Haringey,2023,37746
E09000015,Harrow,2023,31249
E09000016,Havering,2023,27088
E09000017,Hillingdon,2023,25649
E09000018,Hounslow,2023,28652
E09000019,Islington,2023,41955
E09000020,Kensington and Chelsea,2023,110651
E09000021,Kingston upon Thames,2023,34234
E09000022,Lambeth,2023,35607
E09000023,Lewisham,2023,29500
E09000024,Merton,2023,37416
E09000025,Newham,2023,24233
E09000026,Redbridge,2023,27443
E09000027,Richmond upon Thames,2023,49666
E09000028,Southwark,2023,34635
E09000029,Sutton,2023,27343
E09000030,Tower Hamlets,2023,31111
E09000031,Waltham Forest,2023,28104
E09000032,Wandsworth,2023,47804
E09000033,Westminster,2023,76381
N09000001,Antrim and Newtownabbey,2023,20519
N09000002,"Armagh City, Banbridge and Craigavon",2023,20019
N09000003,Belfast,2023,19671
N09000004,Causeway Coast and Glens,2023,20861
N09000005,Derry City and Strabane,2023,18847
N09000006,Fermanagh and Omagh,2023,19752
N09000007,Lisburn and Castlereagh,2023,22529
N09000008,Mid and East Antrim,2023,20491
N09000009,Mid Ulster,2023,20511
N09000010,"Newry, Mourne and Down",2023,19898
N09000011,Ards and North Down,2023,22307
S12000005,Clackmannanshire,2023,21567
S12000006,Dumfries and Galloway,2023,22534
S12000008,East Ayrshire,2023,20440
S12000010,East Lothian,2023,26042
S12000011,East Renfrewshire,2023,28595
S12000013,Na h-Eileanan Siar,2023,22940
S12000014,Falkirk,2023,21537
S12000017,Highland,2023,23625
S12000018,Inverclyde,2023,21486
S12000019,Midlothian,2023,23258
S12000020,Moray,2023,21873
S12000021,North Ayrshire,2023,20448
S12000023,Orkney Islands,2023,21575
S12000026,Scottish Borders,2023,23765
S12000027,Shetland Islands,2023,24953
S12000028,South Ayrshire,2023,22804
S12000029,South Lanarkshire,2023,22339
S12000030,Stirling,2023,24946
S12000033,Aberdeen City,2023,22582
S12000034,Aberdeenshire,2023,25080
S12000035,Argyll and Bute,2023,23379
S12000036,City of Edinburgh,2023,29109
S12000038,Renfrewshire,2023,20432
S12000039,West Dunbartonshire,2023,18626
S12000040,West Lothian,2023,22233
S12000041,Angus,2023,22631
S12000042,Dundee City,2023,18954
S12000045,East Dunbartonshire,2023,28153
S12000047,Fife,2023,21909
S12000048,Perth and Kinross,2023,25305
S12000049,Glasgow City,2023,20006
S12000050,North Lanarkshire,2023,20049
W06000001,Isle of Anglesey,2023,20572
W06000002,Gwynedd,2023,19362
W06000003,Conwy,2023,21364
W06000004,Denbighshire,2023,20331
W06000005,Flintshire,2023,22353
W06000006,Wrexham,2023,19598
W06000008,Ceredigion,2023,19903
W06000009,Pembrokeshire,2023,20370
W06000010,Carmarthenshire,2023,19722
W06000011,Swansea,2023,19152
W06000012,Neath Port Talbot,2023,18827
W06000013,Bridgend,2023,20335
W06000014,Vale of Glamorgan,2023,24478
W06000015,Cardiff,2023,20020
W06000016,Rhondda Cynon Taf,2023,18100
W06000018,Caerphilly,2023,19526
W06000019,Blaenau Gwent,2023,16611
W06000020,Torfaen,2023,19491
W06000021,Monmouthshire,2023,26030
W06000022,Newport,2023,19250
W06000023,Powys,2023,21247
W06000024,Merthyr Tydfil,2023,18488